,ideology,state,name,party,twitter_handler
0,0.0,NY,Kirsten Gillibrand,D,@gillibrandny
1,0.008702126947094217,VT,Bernie Sanders,I,@SenSanders
2,0.03295751608681747,OR,Jeff Merkley,D,@SenJeffMerkley
3,0.05085780172997755,CA,Kamala Harris,D,@SenKamalaHarris
4,0.09073460995616636,MA,Ed Markey,D,@SenMarkey
5,0.1022090112980621,CT,Richard Blumenthal,D,@SenBlumenthal
6,0.11951968188325544,OH,Sherrod Brown,D,@SenSherrodBrown
7,0.12267233326568652,RI,Jack Reed,D,@SenJackReed
8,0.12754257213755685,WA,Patty Murray,D,@PattyMurray
9,0.12992329182086187,HI,Mazie Hirono,D,@maziehirono
10,0.1358445661114254,IL,Richard Durbin,D,
11,0.14533408925541205,MD,Chris Van Hollen,D,@ChrisVanHollen
12,0.15393746268225655,MA,Elizabeth Warren,D,@SenWarren
13,0.15913797817092476,MN,Tina Smith,D,@SenTinaSmith
14,0.16155261267002075,CA,Dianne Feinstein,D,@SenFeinstein
15,0.16526645037083393,OR,Ron Wyden,D,@RonWyden
16,0.16874976399679734,NJ,Cory Booker,D,@SenBooker
17,0.18029928127453945,RI,Sheldon Whitehouse,D,@SenWhitehouse
18,0.19018801969606847,CT,Christopher Murphy,D,
19,0.1940172195938445,IL,Tammy Duckworth,D,@SenDuckworth
20,0.19494565166876232,NH,Maggie Hassan,D,@SenatorHassan
21,0.20522775051076367,NV,Catherine Cortez Masto,D,
22,0.21960711365844904,VT,Patrick Leahy,D,@SenatorLeahy
23,0.23466051022537585,NJ,Bob Menendez,D,@SenatorMenendez
24,0.23492253773670704,MD,Benjamin Cardin,D,
25,0.23802963131120744,HI,Brian Schatz,D,@brianschatz
26,0.2428308331796491,VA,Tim Kaine,D,@timkaine
27,0.25000758580804056,DE,Thomas Carper,D,
28,0.25914961413490945,WI,Tammy Baldwin,D,@SenatorBaldwin
29,0.26937263467710354,NY,Chuck Schumer,D,@SenSchumer
30,0.28189965261431704,MI,Debbie Stabenow,D,@SenStabenow
31,0.2904001003545551,WA,Maria Cantwell,D,@SenatorCantwell
32,0.3059646815033867,NM,Tom Udall,D,@SenatorTomUdall
33,0.3150941534751248,MN,Amy Klobuchar,D,@SenAmyKlobuchar
34,0.3154604653537477,PA,Bob Casey,D,@SenBobCasey
35,0.3179214550681262,NH,Jeanne Shaheen,D,@SenatorShaheen
36,0.3227295612569395,NM,Martin Heinrich,D,@MartinHeinrich
37,0.4116585255490803,CO,Michael Bennet,D,@SenatorBennet
38,0.42418475658542654,DE,Chris Coons,D,@ChrisCoons
39,0.4387098804841697,MI,Gary Peters,D,@SenGaryPeters
40,0.46364948028422703,VA,Mark Warner,D,@MarkWarner
41,0.4798674083457688,FL,Bill Nelson,D,
42,0.5124009681936544,AL,Doug Jones,D,@SenDougJones
43,0.5198135067038934,MO,Claire McCaskill,D,
44,0.5309293305855259,ME,Angus King,I,@SenAngusKing
45,0.5363965727712479,ME,Susan Collins,R,@SenatorCollins
46,0.5627219440968714,MT,Jon Tester,D,@SenatorTester
47,0.5840849109013482,AK,Lisa Murkowski,R,@lisamurkowski
48,0.6061241252782935,ND,Heidi Heitkamp,D,
49,0.6546625932396029,OH,Rob Portman,R,@senrobportman
50,0.675828831327996,AL,Richard Shelby,R,@SenShelby
51,0.6824402369492032,IN,Joe Donnelly,D,
52,0.6953398400227815,TN,Bob Corker,R,@SenBobCorker
53,0.7080498853677221,WV,Joe Manchin,D,@Sen_JoeManchin
54,0.716237337783082,TN,Lamar Alexander,R,@SenAlexander
55,0.7258636129416577,KY,Rand Paul,R,@RandPaul
56,0.7321459126315386,NC,Richard Burr,R,@SenatorBurr
57,0.7354904702728335,SC,Lindsey Graham,R,@GrahamBlog
58,0.7414179659117345,PA,Pat Toomey,R,@SenToomey
59,0.7422354897316329,MS,Cindy Hyde-Smith,R,@SenHydeSmith
60,0.7576891768003867,WV,Shelley Capito,R,
61,0.7639358579781476,AK,Dan Sullivan,R,
62,0.7653849728633025,KY,Mitch McConnell,R,
63,0.7768840267553742,CO,Cory Gardner,R,@SenCoryGardner
64,0.7776344569671255,NE,Benjamin Sasse,R,
65,0.7807691104289503,IN,Todd Young,R,@SenToddYoung
66,0.7990862292032658,NV,Dean Heller,R,
67,0.8187104401658056,AZ,Jeff Flake,R,
68,0.8205760343332624,IA,Chuck Grassley,R,@ChuckGrassley
69,0.8310137122079804,GA,Johnny Isakson,R,@SenatorIsakson
70,0.8334050397121328,LA,Bill Cassidy,R,@SenBillCassidy
71,0.8403556102836912,ND,John Hoeven,R,@SenJohnHoeven
72,0.8406338905764807,KS,Jerry Moran,R,@JerryMoran
73,0.8434803336255454,WI,Ron Johnson,R,@SenRonJohnson
74,0.847652118881885,FL,Marco Rubio,R,@marcorubio
75,0.8507204555584914,UT,Mike Lee,R,@SenMikeLee
76,0.8641820753201587,SC,Tim Scott,R,@SenatorTimScott
77,0.8655364015657664,ID,Michael Crapo,R,
78,0.8683556402463319,LA,John Kennedy,R,@SenJohnKennedy
79,0.8711289461262159,SD,John Thune,R,@SenJohnThune
80,0.8762724448655931,NC,Thom Tillis,R,@SenThomTillis
81,0.8853832673403488,UT,Orrin Hatch,R,
82,0.8942829609668851,NE,Deb Fischer,R,@SenatorFischer
83,0.8967812019941833,MS,Roger Wicker,R,@SenatorWicker
84,0.9126523163147816,ID,James Risch,R,
85,0.9174879938360248,MO,Roy Blunt,R,@RoyBlunt
86,0.9195216823248556,MT,Steve Daines,R,@SteveDaines
87,0.9239033951603534,WY,John Barrasso,R,@SenJohnBarrasso
88,0.9312776354216258,AR,John Boozman,R,@JohnBoozman
89,0.9332695727307144,IA,Joni Ernst,R,@SenJoniErnst
90,0.9390053118686684,TX,Ted Cruz,R,@SenTedCruz
91,0.9506234389888112,OK,James Lankford,R,@SenatorLankford
92,0.9508044649731175,KS,Pat Roberts,R,@SenPatRoberts
93,0.9534992499898248,GA,David Perdue,R,@sendavidperdue
94,0.9624988256180128,TX,John Cornyn,R,@JohnCornyn
95,0.9698474898734152,SD,Mike Rounds,R,@SenatorRounds
96,0.9727381492026904,AR,Tom Cotton,R,@SenTomCotton
97,0.9753306842241066,WY,Michael Enzi,R,
98,1.0,OK,Jim Inhofe,R,@JimInhofe
0,0.0,DC,Eleanor Norton,D,
1,0.009931495300420765,CA,Barbara Lee,D,@RepBarbaraLee
2,0.05810776859081656,AZ,Raúl Grijalva,D,
3,0.1035740013346976,IL,Jan Schakowsky,D,@janschakowsky
4,0.10956787563512138,WA,Pramila Jayapal,D,@RepJayapal
5,0.11233725148151896,WI,Gwen Moore,D,@RepGwenMoore
6,0.11914332219262395,NY,Yvette Clarke,D,@RepYvetteClarke
7,0.12421328093617555,NJ,Bonnie Watson Coleman,D,@RepBonnie
8,0.12670862169661146,MD,Jamie Raskin,D,@RepRaskin
9,0.13643475970984376,MA,Jim Mc Govern,D,
10,0.14917132007108555,NY,Jerrold Nadler,D,
11,0.15054006130954503,TX,Sheila Jackson Lee,D,@JacksonLeeTX18
12,0.15075508735971313,NY,José Serrano,D,@RepJoseSerrano
13,0.15173915354062814,MN,Keith Ellison,D,
14,0.15186236645269807,IL,Luis Gutiérrez,D,
15,0.15951019206005046,CA,Nanette Barragán,D,@RepBarragan
16,0.16449954366995242,CA,Mark DeSaulnier,D,@RepDeSaulnier
17,0.16918514140795174,FL,Alcee Hastings,D,@RepHastingsFL
18,0.17346178482698776,PA,Dwight Evans,D,@RepDwightEvans
19,0.17633143241577295,CA,Mark Takano,D,@RepMarkTakano
20,0.17988462213251746,NY,Nydia Velázquez,D,
21,0.18034585201504005,CA,Jared Huffman,D,@JaredHuffman
22,0.1807300115487044,NY,Adriano Espaillat,D,@RepEspaillat
23,0.1824779859199576,MN,Betty McCollum,D,@BettyMcCollum04
24,0.18575412534233532,CA,Ro Khanna,D,@RoKhanna
25,0.1859815732462897,WI,Mark Pocan,D,@repmarkpocan
26,0.1862916842272531,FL,Frederica Wilson,D,@RepWilson
27,0.19265082938889647,IN,André Carson,D,@RepAndreCarson
28,0.19358614901693708,WA,Adam Smith,D,@RepAdamSmith
29,0.195941650388095,FL,Darren Soto,D,
30,0.19816350452534334,TN,Steve Cohen,D,@RepCohen
31,0.2022630763203037,VA,Bobby Scott,D,@BobbyScott
32,0.2030897378375424,CA,Judy Chu,D,@RepJudyChu
33,0.20330548208553145,MD,Elijah Cummings,D,@RepCummings
34,0.20380140297328966,GA,John Lewis,D,@repjohnlewis
35,0.2072360562329104,MA,Katherine Clark,D,@RepKClark
36,0.2104823603186956,NJ,Donald Payne,D,
37,0.21183698323624187,CT,Rosa DeLauro,D,@rosadelauro
38,0.2140549327121419,CA,Alan Lowenthal,D,@RepLowenthal
39,0.21539549379922368,CA,Maxine Waters,D,@RepMaxineWaters
40,0.21606239178113615,CA,Jerry McNerney,D,@RepMcNerney
41,0.2162711229570521,NY,Hakeem Jeffries,D,@RepJeffries
42,0.21901063294840828,NJ,Frank Pallone,D,@FrankPallone
43,0.2197691390536541,CA,Karen Bass,D,
44,0.22055356677571966,NY,Carolyn Maloney,D,@RepMaloney
45,0.2219209978256711,CA,Grace Napolitano,D,
46,0.22313038937287208,CA,Lucille Roybal-Allard,D,@RepRoybalAllard
47,0.22475229432655372,RI,David Cicilline,D,@davidcicilline
